Country Name,"Life expectancy at birth, total (years)","Population, total",Population growth (annual %),Urban population (% of total population),Access to electricity (% of population),Forest area (% of land area),Mobile cellular subscriptions (per 100 people),GDP per capita (current US$),GDP growth (annual %),"Access to electricity, rural (% of rural population)","Mortality rate, infant (per 1,000 live births)","Foreign direct investment, net inflows (% of GDP)",Current health expenditure (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Individuals using the Internet (% of population)
Canada,81.2453658536585,38935934,1.80390457488184,81.752,100,39.4659199995449,91.2387,56256.8007264015,4.1890362810085104,100,4.5,2.29317324184365,11.23432541,5.279,94
Chad,54.528,18455316,3.45668911084691,24.063,11.7,3.24924110546379,65.4378,966.036468278568,12.8966164300082,1.3,60.3,3.44402627536712,4.52549791,1.096,12.4865
Chile,79.176,19553036,0.495789591494285,87.912,100,24.8461772576085,135.114,15405.6165774073,2.15399356192458,100,5.9,6.2318507042491,10.06172848,8.249,93.5377
China,78.202,1412175000,-0.0130995013525784,63.56,100,23.8316995465589,124.195,12970.6056414327,3.1341888719577,100,4.8,1.03841365474349,5.36948681,4.98,75.6113
Colombia,76.508,51737944,1.06829295530618,82.05,100,52.9457763857593,156.195,6680.44506854481,7.32827729427979,100,11.3,4.97124137726565,7.57361269,10.547,72.7964
Comoros,66.481,834188,1.93837687010445,29.864,89.9,17.2165502418055,100.549,1533.87755332151,2.81839506562636,82.9,36.8,0.322667538363092,8.3803854,3.816,32.7685
"Congo, Dem. Rep.",60.979,102396968,3.2234019442495,46.837,21.5,54.6754592973247,48.6774,642.612267148918,8.92444785079518,1,45.8,2.14185515361453,3.78614616,4.522,29.4996
"Congo, Rep.",65,6035104,2.39665300284304,68.736,50.6,64.1756954612006,93.6259,2620.83804304713,1.47535613247133,12.4,28.5,3.3650833609005,2.19224548,20.108,37.4939
Costa Rica,79.316,5081765,0.429453043658398,82.042,100,60.0785350567959,154.989,13625.9008491478,4.55149177958398,100,8.8,5.3050432792936,7.18368196,11.325,82.598
Cote d'Ivoire,61.562,30395002,2.5162293495351298,52.661,72,8.21049968553459,161.232,2333.37128334477,6.39988362720531,45.3,47.9,2.25472653239831,3.6424129,2.306,38.4133
Croatia,77.5756097560976,3855641,-0.603521952188318,58.219,100,34.7410650464618,114.677,18466.0955472648,7.28793643206565,100,3.9,5.51610421858619,7.21545315,6.96,82.0716
Cyprus,80.434,1331370,1.06174678712373,66.911,100,18.6677489177489,151.241,33894.44921875,7.20486780743879,100,2.8,0.174199839978059,8.87060547,6.806,89.601
Czechia,78.9292682926829,10672118,1.5709725672011,74.377,100,34.7369431785448,128.105,28282.2236715857,2.8471706583814,100,2.2,3.02937517288668,8.79904652,2.224,84.5401
Denmark,81.3048780487805,5903037,0.787502464739957,88.367,100,15.758,126.484,68091.3191138669,1.54017307357893,100,3.1,6.87340812577742,9.4758625,4.434,97.8601
Djibouti,65.54,1137096,1.40352932560807,78.38,65,0.257308024158758,46.7771,3133.25779772463,5.16653702854374,36.6,45.9,5.24930012962196,2.49675012,26.307,63.2573
Dominican Republic,74.211,11230734,0.959629735113671,83.848,98.1,44.8209283285911,90.376,10104.2449349081,5.23795652902595,94.5,29.1,3.56897098132173,4.57254791,5.504,81.5127
Ecuador,76.577,17823897,0.796723652034201,64.57,100,49.8038734095668,98.1309,6515.58528418336,5.86842354862311,100,11.2,0.759491173521047,7.53457022,3.761,69.7181
"Egypt, Arab Rep.",71.01,112618250,1.48609697540294,42.967,100,0.0451855944547692,90.6795,4233.30783744856,6.58784560886967,100,16.7,2.39118080969079,4.70438385,7.344,72.1981
El Salvador,71.969,6280319,0.39146192798287,74.767,100,27.7451737451737,183.249,5074.60210221806,2.95461516549889,100,9.5,0.0823187568481088,9.84079742,2.999,65.5298
Equatorial Guinea,63.355,1803545,2.5130374213272,74.01,67,86.6916221033868,49.538,7589.29964909381,3.22350831658598,1.4,50.9,10.1419330984832,2.91350007,8.455,59.3433
Estonia,77.8439024390244,1348840,1.3365515114828601,69.609,100,57.0652937046572,152.271,28451.1477825175,0.0604305165130938,100,1.7,4.89320122469425,6.98701143,5.571,91.5202
Eswatini,63.028,1218917,1.01620740015869,24.576,82.3,29.0686046511628,121.492,3889.65276959161,1.1195906677553,81.6,44.6,0.28158166701768,7.2226615,35.359,57.465
Fiji,67.148,919422,0.295294727557318,58.229,92,63.1297208538588,111.749,5405.03006162671,19.7927266886699,86.8,23.5,2.08434485529881,4.00910091,4.446,78.2433
Finland,81.1878048780488,5556106,0.271944526506117,85.681,100,73.7264996576714,128.023,50440.560224974,0.763041912763526,100,1.8,4.66691154081507,9.6589222,6.719,92.9888
France,82.1292682926829,68065015,0.326992498564887,81.509,100,32.32173671027,115.951,41082.8119320747,2.57084047567793,100,3.4,4.01585632811977,11.8819046,7.308,85.3333
Gabon,67.713,2430747,2.24763901253797,90.735,93.5,91.228470524314,123.233,8409.20741452279,3.03761449525692,29,27.2,5.40389729404727,2.85591531,20.399,70.7069
"Gambia, The",64.859,2636470,2.31992109797091,63.852,65.4,22.8459584980237,106.782,836.244875582631,5.49299825508946,31.2,34.9,10.4995861021697,3.41435836,6.076,44.0389
Georgia,74.141,3712502,0.104889950638883,60.297,100,40.6159159591308,154.014,6729.84659930283,10.9585321385624,100,8.1,9.15328575552963,7.25569582,11.647,78.7113
Germany,80.6080487804878,83797985,0.720875455989295,77.648,100,32.685482024273,124.158,49686.1154582583,1.36973104612758,100,3.1,2.0947134896352,12.60513115,3.12,91.6298
Ghana,65.246,33149152,1.92029034344132,58.615,85.1,35.1604431005612,120.803,2229.89122647803,3.80484980952164,71.6,29.2,1.93240124339233,3.6993649,3.084,69.3607
Greece,80.7878048780488,10436882,-1.25988945727074,80.357,100,30.2699767261443,109.027,20971.8349258283,5.74364902526337,100,3.3,3.6311990288799,8.49983692,12.426,83.1707
Guatemala,71.206,17847877,1.40623710213146,52.666,99.1,32.7043673012318,115.156,5358.70127494396,4.18451808712605,98.1,18.4,1.51615535198586,7.44098806,3.051,55.4086
Guinea,60.432,14055137,2.48250409145397,37.668,47.7,24.8616311248576,108.885,1416.59612011764,3.97240784200721,21.3,63.1,3.30630355394451,3.95847702,5.267,24.6954
Guinea-Bissau,63.605,2105529,2.24235388639993,45.041,37.4,69.8125889046942,125.935,873.437861875428,5.58513728011474,15.8,44.3,1.17767426605187,8.11358356,2.666,27.5672
Guyana,69.888,821637,0.751934221097092,27.022,93,87.1314345931609,112.565,17913.4928066879,63.3346343654855,91.6,24.6,-20.3619575428882,3.00636959,12.013,78.3924
Honduras,72.715,10463872,1.67679658023776,59.6,94.4,56.4604522298686,75.8551,3003.28996826399,4.14356194013767,86.8,13.7,2.41292398026651,8.28209972,8.774,56.3896
Hungary,75.8682926829268,9605074,-0.268850150860009,72.552,100,22.4643754109139,105.794,18483.6366867035,4.27034755162904,100,3.2,-1.07832020714623,6.68981791,3.609,89.1428
Iceland,82.119512195122,382003,2.51377343254216,93.992,100,0.522265198849549,120.115,75121.0152280628,8.97897085175497,100,2,4.81779889629883,9.28593922,3.789,99.8082
India,71.698,1425423212,0.790200540609834,35.872,99.2,24.4494970049005,80.1818,2347.44829434623,7.60936497768895,99.3,25.6,1.49248825904,3.3058846,4.822,55.9
Indonesia,70.925,278830529,0.746050469653246,57.934,100,48.0419900717626,122.873,4730.83484836107,5.30719722664799,98.2,17.5,1.87264100861425,2.69394851,3.462,66.4846
"Iran, Islamic Rep.",76.799,89524246,1.20100285857304,76.807,100,6.64160246533128,162.713,4405.09291519791,3.77663140152906,100,11,0.380360591270035,5.34889174,9.085,79.061
Iraq,72.037,44070551,2.29369659225826,71.354,100,1.90035242899592,99.1324,6520.73154560584,7.95904804992662,100,21.5,-0.726653366772653,4.29332495,15.511,78.7156
Ireland,82.509756097561,5212836,1.9810166406971501,64.183,100,11.4678472927856,110.609,105234.511567597,8.61950345618772,100,3.3,-6.48520600331753,6.11978531,4.501,96.6206
Israel,82.7,9557500,1.96636884788361,92.763,100,6.46950092421442,151.138,54949.621556429,6.26326343841286,100,2.7,4.35725962102686,7.34161806,3.695,91.8508
Italy,82.7,59013667,-0.20230086688254,71.657,100,32.7125321249831,131.674,35653.9042103495,4.82117669913565,100,2.4,2.94181405797187,9.02753067,8.069,85.0607
Jamaica,71.481,2839144,0.0515076570013975,57.008,100,55.8320498614958,105.762,6022.15339791763,5.22151985159613,100,18.3,1.86419734045344,7.77706337,4.083,82.4453
Japan,83.9963414634146,125124989,-0.443851919148528,91.955,100,68.4087791495199,168.603,34065.6438962526,0.941998775483285,100,1.8,1.12971840820325,11.42183685,2.6,84.9234
Jordan,77.088,11256263,1.70151702842564,91.827,100,1.09804716534901,67.7457,4332.25159897931,2.64743514912058,98.8,12.6,1.97382535440765,6.82820034,18.2,90.5
Kazakhstan,73.503,20034609,1.46316879039749,57.99,100,1.3013145534689,125.642,11255.3396437881,3.19999999970734,100,7.7,2.25355434978679,3.74026752,4.86,92.2969
"Korea, Rep.",82.6804878048781,51672569,-0.187486566698935,81.427,100,64.2110655737705,148.684,32394.6833725203,2.61267219187226,100,2.4,1.49617378306838,9.43414211,2.857,97.1686
Kuwait,80.5878048780488,4589643,5.11318110910574,100,100,0.350729517396184,168.35,39981.7690981957,6.75866704650672,100,7.6,0.409943823309635,4.26875782,2.174,99.7237
Kyrgyz Republic,72.0487804878049,6975220,1.7936545985598,37.461,99.7,7.04827945776851,106.926,1739.72018344174,8.96750520041391,99.6,15.1,0.451992680624909,4.92258883,4.043,82.5991
Lao PDR,68.715,7559007,1.40971670105791,37.592,100,71.6052859618717,63.3546,2046.40440255621,2.70742652643155,100,36.4,4.69509225789707,2.01825476,1.209,62.7001
Latvia,74.2780487804878,1879383,-0.271369577775699,68.54,100,54.933793990037,115.203,20227.2307431581,1.80677198008065,100,2.7,3.20240857817949,7.62168407,6.815,91.0301
Lebanon,78.003,5744489,0.460053063032864,89.262,100,14.128054740958,74.0148,3654.35845534878,-0.621678970663112,100,15.1,2.50966160641735,5.73500204,11.6,82.798
Lesotho,56.812,2286110,1.08048016923391,29.943,50,1.13702239789196,68.1001,1030.12579628833,2.38778020186284,37.7,57.6,-0.332065080152618,12.65127754,16.688,46.5007
Liberia,61.934,5373294,2.14388170425267,53.065,31.8,78.4563953488372,32.0639,744.617175237387,4.80810517290655,14.9,53.9,23.9985301015667,13.47386169,2.977,21.8966
Lithuania,75.6439024390244,2831639,0.824789131191284,68.465,100,35.2036435371542,135.834,25085.784063499,2.53752574011534,100,2.9,3.40588108209325,7.24335003,5.955,87.7242
Luxembourg,82.9463414634147,653103,2.01666790212729,91.881,100,34.4538272103664,139.651,123719.658915996,-1.09505351160836,100,2,-391.555119009248,5.55154753,4.588,98.242
Madagascar,63.068,30437261,2.48207836172625,39.882,36.1,21.3189737023032,64.7495,503.514533472879,4.15609778380812,10.9,44.7,3.05272592480406,3.25023246,3.186,18.5532
Malawi,66.037,20568728,2.567947782963,17.98,14,22.8860840050912,59.6496,604.269751184515,0.921115069005936,5.6,30.5,1.59888613227793,6.50023508,5.037,17.0457
Malaysia,75.444,34695493,1.1977720012836,78.214,100,57.871678587734,138.208,11748.0919307944,8.86182187578046,100,6.7,3.68689336269236,3.90591931,3.93,97.3986
Maldives,80.76,524106,1.528878337276,41.536,100,2.73333333333333,136.459,11786.0091545343,13.8260895306814,100,5.3,11.8454763227133,9.65276241,4.419,83.9119
Mali,60.035,23072640,3.00942592606239,45.437,53,10.896663634352,112.12,969.72220560562,3.5082827896139,18.3,59,3.19776684008586,3.67284775,2.387,34.3797
Malta,82.4487804878049,531113,2.47100289980875,94.875,100,1.4375,132.861,36224.2819955817,4.26931853012293,100,5,126.084087677368,9.52376747,2.921,91.5406
Mauritius,73.5146341463415,1262523,-0.301401216835277,40.81,100,19.4541812719079,164.309,10223.7882316574,8.69306675264066,100,13.8,4.22930927251408,5.82381678,6.322,75.5
Mexico,73.973,128613117,0.753116988604166,81.3,100,33.6618740193935,105.713,11402.1410374782,3.71098893117183,100,11.1,2.66415918311792,5.72145176,3.256,78.6322
Moldova,71.546,2528654,-2.62110760462091,43.173,100,11.7548661800487,137.183,5744.29618434435,-4.60000000000001,100,13.6,4.03446735088075,6.96505404,0.897,76.7412
Mongolia,71.9007317073171,3433748,1.46704738017187,68.93,100,9.09849695989111,142.809,4993.51487463495,5.0327096366527,100,11.6,14.6053065112102,8.85170174,6.211,82.1725
Montenegro,76.1878048780488,623591,-0.234174139002603,68.164,100,61.4869888475836,207.278,9990.20444616996,6.40668032879275,100,2.2,14.0062013047765,10.92241859,14.851,88.2219
Morocco,75.161,37329064,1.00863622672701,64.596,100,12.9136878781089,141.87,3455.39624023438,1.52720357976111,100,16,1.7520598001891,5.68049145,9.494,89.9
Mozambique,63.011,32656246,2.9473431712575,38.187,33.2,46.1193311121849,45.8178,578.251663751351,4.36445074432608,5,46.5,16.0042947069706,8.77717781,3.596,18.7913
Myanmar,66.506,53756787,0.690074759264932,31.771,73.6,42.846262276495,107.535,1158.05005034332,4.0374934360085,62.8,35.2,1.98946076080719,5.20476246,3.057,58.0112
Namibia,64.19,2889662,2.77600581415178,53.956,56.2,7.89136270330017,100.558,4349.79908493314,5.39872476224093,33.2,39.7,8.40166893779959,9.29635525,19.695,61.1485
Nepal,70.087,29715436,0.81238557412485,21.451,91.3,41.5907220090687,133.273,1385.91066274851,5.6313145568451,93.7,24.2,0.717813074577744,6.65589333,10.844,53.8878
Netherlands,81.6146341463415,17700982,0.953278922854537,92.886,100,11.0296673596674,115.821,59123.318556487,5.00723455159611,100,3.5,1.47701805979237,10.10068321,3.526,92.5197
New Zealand,81.9585365853658,5117100,0.11340973410607,86.884,100,37.719363487904,115.984,48760.0381935936,3.49638686458842,100,4.1,3.34262941303518,10.02858067,3.297,96.1942
Nicaragua,74.463,6730654,1.28466010240759,59.556,86.5,26.6538972910088,104.278,2322.89053964583,3.55029945613975,66.3,10.7,8.23239650343154,8.95364857,4.961,49.1307
Niger,60.398,25311973,3.25170642220024,16.894,19.5,0.83276229572906,63.3771,609.745147661683,11.9000000000277,7.7,68.3,6.25880834194363,4.35259724,0.418,23.2982
Nigeria,54.079,223150896,2.09281687128387,53.521,60.5,23.3871888621716,99.5852,2139.37478476974,3.25168140827093,27,61.6,-0.0391267487603444,4.27090406,3.821,37.6975
North Macedonia,74.4248780487805,1831712,-0.294481335654044,59.118,100,39.7101506740682,111.303,7606.2375253797,2.75888415332967,100,3.6,6.13067578989693,7.6204114,14.476,85.008
Norway,82.509756097561,5457127,0.898395220610608,83.664,100,33.4795618634529,111.657,109269.520580298,3.24622860260932,100,1.9,2.39446435427431,7.94803333,3.231,99
Oman,77.911,4730226,4.98013669293962,87.75,100,0.00779030694668821,136.801,23223.5829405935,7.98570728354278,100,8.5,6.33830826925262,2.9162159,3.3,95.2453
Pakistan,67.417,243700667,1.74799739792983,37.731,95,4.72605334163553,79.1051,1538.3228133171,4.7781068690358,93,51.8,0.389980753542853,2.90434051,5.485,24.2103
Panama,79.324,4400773,1.26612423517538,69.141,95,56.4978579131842,152.062,17332.4360742988,10.769665870619,100,11.1,3.2336759460383,8.46561432,8.086,77.7041
Papua New Guinea,65.274,10203169,1.88244961375761,13.582,19,79.0281764783818,49.1907,3102.28968594061,5.70758404238197,14,33,3.76981381554657,2.61825109,2.689,23.7315
Paraguay,72.319,6760464,1.13476871860664,62.818,100,39.2502935554672,128.088,6205.6259537937,0.176038366124061,100,15.6,1.77482468288435,7.73804235,6.755,76.2592
Peru,76.834,33475438,0.959183909355287,78.708,96.2,56.238047734375,124.119,7350.63034300417,2.8090335533015,85.1,13.8,4.55221582089149,6.0930872,3.85,74.675
Philippines,69.472,113964338,0.760479216015364,47.977,94.8,24.3430593285709,147.429,3548.06930572116,7.58098212785563,91.1,22.4,2.3475097233369,5.15676308,2.598,75.2111
Poland,77.1560975609756,36821749,-0.433070695882457,60.134,100,31.0594923061845,137.002,18891.213529396,5.25545697386036,100,3.7,6.00626051695503,6.39626455,2.811,86.9411
Portugal,81.6317073170732,10434332,0.697256448023043,67.381,100,36.154994891142,122.801,24620.519556875,6.9858417811997,100,2.6,5.08368926085172,10.46883011,6.011,84.4969
Qatar,81.857,2657333,5.90701824957099,99.318,100,0,162.249,88701.463352273,4.18500970982862,100,5,0.0322850616403459,2.18112326,0.13,99.6528
Romania,75.1536585365854,19048502,-0.385412679960785,54.489,100,30.1158292767733,121.142,15557.8826247584,3.96530766311717,100,5.4,3.87290125410084,5.7490139,5.614,85.5031
Russian Federation,72.5456097560976,144236933,-0.352843110363082,75.126,100,49.7843605035639,168.476,15619.6142578125,-1.43588213859842,100,3.9,-1.73680981421063,6.91986275,3.867,90.418
Rwanda,67.528,13651030,2.19046619232976,17.721,50.6,11.2687474665586,80.5952,975.469323979541,8.16120720872912,38.2,30.8,2.29121488730003,7.8792119,15.084,31.2252
Samoa,71.55,215261,0.690847424147793,17.616,98.3,57.8093525179856,62.3987,3869.46639492144,-5.30629089966979,97.9,13.1,0.576323080112089,6.3012085,5.048,57.3288
Sao Tome and Principe,69.237,226305,1.93819561963228,75.755,78,52.7708333333333,86.7785,2389.73729784737,0.168698492216564,73.7,9.8,23.436015111899,7.46419811,8.992,61.5535
Saudi Arabia,77.31,32175224,4.41891994509507,84.729,100,0.454484134921779,149.798,38510.2276211037,12.0005874752929,100,5.1,2.1556449627378,4.62462378,5.589,100
Senegal,67.788,17651103,2.46764281803509,49.086,67.9,41.4904690178154,118.15,1574.0281059306,3.85043193735768,43.4,31.4,10.5411241953817,4.06358385,2.837,59.2246
Serbia,75.2365853658537,6664449,-2.5170575672922,56.873,100,32.3858163872042,129.813,10022.9688543402,2.63098644408841,100,4.5,6.90481580907467,9.65742779,8.439,83.5383
Sierra Leone,61.275,8276807,2.22598462352813,43.831,29.4,34.5721806594625,107.882,860.774590932595,5.3135546141915,5,58,2.03524049526072,7.94752312,3.175,19.2287
Singapore,82.8951219512195,5637022,3.30862052439523,100,100,21.1838440111421,173.005,90299.0694637269,4.10800021897151,100,1.8,29.414237864711,4.89702511,3.591,95.9539
Slovak Republic,76.9658536585366,5431752,-0.284860959688394,53.909,100,40.05615640599,136.029,21334.6011006572,0.437359508569173,100,5,4.16543607751776,7.73064041,6.143,89.0677
Slovenia,81.2829268292683,2112076,0.189424378732817,55.751,100,61.2701922885918,126.459,28373.8382265999,2.69923874523828,100,1.9,3.63837227783814,9.60507679,4.011,88.9125
Solomon Islands,70.409,781066,2.39378076885188,25.584,76,90.0861021793498,62.0735,2005.4139933198,2.40248143622522,75.4,17,2.59958214293393,4.82369328,1.483,42.094
"Somalia, Fed. Rep.",53.931,17801897,3.0251275475745,47.324,48.9,9.28762712404757,49.6801,573.128092472349,2.72711429582147,30.6,89.9,6.23360293505987,2.62183189,19.05,27.6
South Africa,65.454,62378410,1.41397227960081,68.335,86.5,13.9950786833623,160.729,6523.41097815853,1.91147996033504,93.4,24.5,2.27046857469365,8.77086639,33.268,75.4556
Spain,83.1341463414634,47786102,0.718854879160094,81.304,100,37.1827922798055,123.4,30270.2687017458,6.17931219966114,100,2.6,4.52740675341745,9.73828793,12.917,94.4855
Sri Lanka,77.3,22181000,0.112772639779474,19.026,100,34.0559327513741,151.727,3342.63650253855,-7.34919301306745,100,5.5,1.19249322228343,4.36269855,4.528,48.3
St. Lucia,72.67,178781,0.144975018605125,19.05,100,34.0491803278688,98.6676,13103.8243147472,20.3884431828414,100,14.4,2.53264307158678,5.01938295,15.934,65.3544
St. Vincent and the Grenadines,71.191,102046,-0.776041417794061,53.875,100,73.1794871794872,102.334,9693.55867833025,3.1108330034352,100,10.3,6.59514716509223,4.68767738,19.417,71.7226
Suriname,73.254,623164,0.848956801428746,66.307,99,94.5238739770656,149.052,6084.43876736445,2.40622235601218,97,15.7,-0.245419018781694,5.91760969,8.16,77.6494
Sweden,83.0585365853659,10486941,0.68058286829853,88.492,100,68.6996660773915,140.782,55296.9371472535,1.45928849980044,100,2,9.31834204985397,10.49857044,7.392,95.0097
Switzerland,83.6048780487805,8777088,0.829927183900371,74.092,100,32.2956707010417,123.971,94394.5106803525,3.04406102969423,100,3.5,-1.9380912110037,11.70653343,4.122,96.4528
Tajikistan,71.562,10182222,2.13728529423458,27.968,100,3.06794437639599,126.161,1052.17949484894,8.00000033846364,100,23.1,1.62432287476597,7.62917423,11.634,53.1078
Tanzania,66.879,64711821,2.95046658393064,36.682,45.8,50.5836531948521,93.016,1207.85302734375,4.56600576430955,36,31.2,1.89728870685569,3.1119566,2.588,22.101
Thailand,75.291,71735329,0.0111485454856964,52.889,99.9,38.7578539411615,176.223,6909.35281815827,2.58037874709827,100,8.3,2.39179841841837,5.35470581,0.94,87.9772
Timor-Leste,67.368,1369295,1.40884587356384,32.074,99.7,61.7552118359112,108.158,2343.24523350389,-20.5415847471733,100,36.9,-8.42319217915231,14.32454681,1.537,34.5102
Togo,62.29,9089738,2.35270895960531,43.921,57.2,22.1244714101857,72.2148,898.758154410712,5.75954251521733,25,36.9,-2.1213197375223,6.04134083,1.965,35.5105
Tonga,72.635,105042,-0.425589151486705,23.125,100,12.4305555555556,61.7258,4933.07466930785,-2.3098644452046,100,8.2,0.561880389995766,8.13607597,2.302,57.7181
Trinidad and Tobago,73.331,1365805,-0.128266918103601,53.34,100,44.317738791423,133.632,20874.37682915,1.08222233950819,100,17.6,-3.20410793780266,6.43106365,4.383,84.4957
Tunisia,76.05,12119334,0.585173208533683,70.214,100,4.54293254376931,131.875,3708.8481241036,2.67331821840567,99.7,11.5,1.43099166681877,6.96380186,15.3,70.5532
Turkiye,77.591,84979913,0.984586244469359,77.022,100,29.2768733027559,103.721,10674.504157865,5.53342787492781,100,8,1.5195369726187,3.70338893,10.465,83.4372
Uganda,67.675,47312719,3.00759449042677,26.159,47.1,11.2477114502294,70.1401,963.067314233497,4.58802192181773,35.9,28.7,6.48067616187326,4.39089251,2.886,11.1246
United Arab Emirates,80.487,10074977,5.08834153373914,87.543,100,4.46775556181357,195.625,49899.0652975197,7.50969703496445,100,4.2,4.52260019471922,4.67550945,2.872,100
United Kingdom,81.0112195121951,67604000,0.921336799385098,84.398,100,13.2554871243748,119.834,46062.9914079698,4.83908517877134,100,3.9,1.44178892281254,11.05087757,3.73,96.2989
United States,77.4341463414634,334017321,0.575744520494521,83.084,100,33.8669264120375,108.786,77860.9112908848,2.5123753198332,100,5.5,1.60299809746593,16.49613953,3.65,92.2016
Uruguay,76.468,3390913,-0.170369337727093,95.688,100,11.8443606444978,139.829,20818.6146091144,4.48622703072073,100,5.6,12.4804063396028,8.94532204,7.877,89.873
